"trainer/global_step","causal_small - train_loss","causal_small - train_loss__MIN","causal_small - train_loss__MAX","causal_small - _step","causal_small - _step__MIN","causal_small - _step__MAX"
"31999","0.1429205685853958","0.1429205685853958","0.1429205685853958","319","319","319"
"32099","0.14030222594738007","0.14030222594738007","0.14030222594738007","320","320","320"
"32199","0.14103929698467255","0.14103929698467255","0.14103929698467255","321","321","321"
"32299","0.14071078598499298","0.14071078598499298","0.14071078598499298","322","322","322"
"32399","0.14197926223278046","0.14197926223278046","0.14197926223278046","323","323","323"
"32499","0.1444692611694336","0.1444692611694336","0.1444692611694336","324","324","324"
"32599","0.14068952202796936","0.14068952202796936","0.14068952202796936","325","325","325"
"32699","0.1370743066072464","0.1370743066072464","0.1370743066072464","326","326","326"
"32799","0.14149560034275055","0.14149560034275055","0.14149560034275055","327","327","327"
"32899","0.1358128786087036","0.1358128786087036","0.1358128786087036","328","328","328"
"32999","0.1467714011669159","0.1467714011669159","0.1467714011669159","329","329","329"
"33099","0.13700449466705322","0.13700449466705322","0.13700449466705322","330","330","330"
"33199","0.1351422518491745","0.1351422518491745","0.1351422518491745","331","331","331"
"33299","0.13693088293075562","0.13693088293075562","0.13693088293075562","332","332","332"
"33399","0.1376798301935196","0.1376798301935196","0.1376798301935196","333","333","333"
"33499","0.1410706341266632","0.1410706341266632","0.1410706341266632","334","334","334"
"33599","0.1473766416311264","0.1473766416311264","0.1473766416311264","335","335","335"
"33699","0.1453772634267807","0.1453772634267807","0.1453772634267807","336","336","336"
"33799","0.1406431794166565","0.1406431794166565","0.1406431794166565","337","337","337"
"33899","0.13849958777427673","0.13849958777427673","0.13849958777427673","338","338","338"
"33999","0.14115308225154877","0.14115308225154877","0.14115308225154877","339","339","339"
"34099","0.14256982505321503","0.14256982505321503","0.14256982505321503","340","340","340"
"34199","0.1460571587085724","0.1460571587085724","0.1460571587085724","341","341","341"
"34299","0.138125941157341","0.138125941157341","0.138125941157341","342","342","342"
"34399","0.13496285676956177","0.13496285676956177","0.13496285676956177","343","343","343"
"34499","0.13960282504558563","0.13960282504558563","0.13960282504558563","344","344","344"
"34599","0.14143241941928864","0.14143241941928864","0.14143241941928864","345","345","345"
"34699","0.14281682670116425","0.14281682670116425","0.14281682670116425","346","346","346"
"34799","0.13833114504814148","0.13833114504814148","0.13833114504814148","347","347","347"
"34899","0.1417432725429535","0.1417432725429535","0.1417432725429535","348","348","348"
"34999","0.14204742014408112","0.14204742014408112","0.14204742014408112","349","349","349"
"35099","0.13407611846923828","0.13407611846923828","0.13407611846923828","350","350","350"
"35199","0.13763806223869324","0.13763806223869324","0.13763806223869324","351","351","351"
"35299","0.14574678242206573","0.14574678242206573","0.14574678242206573","352","352","352"
"35399","0.1391713172197342","0.1391713172197342","0.1391713172197342","353","353","353"
